category,sub_category,category_code,category_description,material_code,material_description
FF,FF 3 DOOR,20004652,FP 283D PROTN ROY INDIGO,22121,FP 283D PROTTON ROY INDIGO STEEL (N)
FF,FF 3 DOOR,20004653,FP 313D PROTN ROY BRUSHED,22122,FP 313D PROTTON ROY BRUSHED GOLD (N)
FF,FF 3 DOOR,20004654,FP 313D PROTN ROY INDIGO,22123,FP 313D PROTTON ROY INDIGO STEEL (N)
FF,FF 3 DOOR,20004655,FP 343D PROTN ROY BRUSHED,22124,FP 343D PROTTON ROY BRUSHED GOLD (N)
FF,FF 3 DOOR,20004656,FP 343D PROTN ROY INDIGO,22125,FP 343D PROTTON ROY INDIGO STEEL (N)
FF,FF TOP MOUNT,20004657,IF INV ELT DF278 BRUSHED,22126,IF INV ELT DF278 BRUSHED GOLD(3S)-TL
FF,FF TOP MOUNT,20004658,IF INV ELT DF278 INDIGO S,22127,IF INV ELT DF278 BRUSHED GOLD(3S)-TL
FF,FF TOP MOUNT,20004659,NEO DF278 PRM INDIGO STL(,22128,NEO DF278 PRM INDIGO STEEL(2s)-TL
FF,FF TOP MOUNT,20004665,NEO SP278 PRM TITAN STL(2,22136,NEO SP278 PRM TITAN STEEL(2S)-TL
FF,FF TOP MOUNT,20004660,NEO SP278 PRM ARCTIC STL(,22129,NEO SP278 PRM ARCTIC STEEL(2S)-TL
FF,FF TOP MOUNT,20004780,NEO SP278 PRM BREEZE(2S)-,22327,NEO SP278 PRM SAPPHIRE BREEZE(2S)-Y
FF,FF TOP MOUNT,20004778,NEO SP278 PRM ROSE(2S)-Y,22325,NEO SP278 PRM SAPPHIRE ROSE(2S)-Y
FF,FF TOP MOUNT,20004661,NEO 278LH PRM  ROSE(2S)-T,22130,NEO 278LH PRM SAPPHIRE ROSE(2s)-TL
FF,FF TOP MOUNT,20004777,NEO SP278 PRM PEONY(2S)-Y,22322,NEO SP278 PRM WINE PEONY(2S)-Y
FF,FF TOP MOUNT,20004776,NEO SP278 PRM SILK(2S)-Y,22320,NEO SP278 PRM WINE SILK(2S)-Y
FF,FF TOP MOUNT,20004775,NEO SP278 PRM VELVET(2S)-,22318,NEO SP278 PRM WINE VELVET(2S)-Y
FF,FF TOP MOUNT,20004767,NEO SP278 PRM PEONY(1S)-Y,22310,NEO SP278 PRM WINE PEONY(1S)-Y
FF,FF TOP MOUNT,20004662,NEO SP278 PRM PEONY(2S)-T,22131,NEO SP278 PRM WINE PEONY(2S)-TL
FF,FF TOP MOUNT,20004777,NEO SP278 PRM PEONY(2S)-Y,22323,NEO SP278 PRM SAPPHIRE PEONY(2S)-Y
FF,FF TOP MOUNT,20004776,NEO SP278 PRM SILK(2S)-Y,22321,NEO SP278 PRM SAPPHIRE SILK(2S)-Y
FF,FF TOP MOUNT,20004775,NEO SP278 PRM VELVET(2S)-,22319,NEO SP278 PRM SAPPHIRE VELVET(2S)-Y
FF,FF TOP MOUNT,20004767,NEO SP278 PRM PEONY(1S)-Y,22309,NEO SP278 PRM SAPPHIRE PEONY(1S)-Y
FF,FF TOP MOUNT,20004662,NEO SP278 PRM PEONY(2S)-T,22132,NEO SP278 PRM SAPPHIRE PEONY(2S)-TL
FF,FF TOP MOUNT,20004664,NEO 278LH PRM PALM(2S)-TL,22134,NEO 278LH PRM WINE PALM(2s)-TL
FF,FF TOP MOUNT,20004664,NEO 278LH PRM PALM(2S)-TL,22135,NEO 278LH PRM SAPPHIRE PALM(2s)-TL
FF,FF TOP MOUNT,20004666,NEO 278LH PRM VIOLA(2S)-T,22137,NEO 278LH PRM SAPPHIRE VIOLA(2s)-TL
FF,FF TOP MOUNT,20004666,NEO 278LH PRM VIOLA(2S)-T,22138,NEO 278LH PRM WINE VIOLA(2s)-TL
FF,FF TOP MOUNT,20004673,IF INV CNV 305 MAGNUM STL,22145,IF INV 305 MAGNUM STEEL(3S) CONV-TL
FF,FF TOP MOUNT,20004671,IF INV CNV 305 RADIANT ST,22143,IF INV 305 RADIANT STEEL(3S) CONV-TL
FF,FF TOP MOUNT,20004674,IF INV CNV 305 GERMAN STL,22146,IF INV 305 GERMAN STEEL(3S) CONV-TL
FF,FF TOP MOUNT,20004672,IF INV CNV 305 ARTEMIS ST,22144,IF INV 305 ARTEMIS STEEL(3S) CONV-TL
FF,FF TOP MOUNT,20004841,IF INV 355 TITAN STL(3S),22396,IF INV 355 TITAN STEEL(3S) CONV-Y
FF,FF TOP MOUNT,20004675,IF INV 355 TITAN STEEL(3S,22147,IF INV 355 TITAN STEEL(3S) CONV-TL
FF,FF TOP MOUNT,20004845,IF INV 375 ARCTIC STL(3S),22400,IF INV 375 ARCTIC STEEL(3S) CONV-Y
FF,FF TOP MOUNT,20004844,IF INV 375 CHROMIUM STL(3,22399,IF INV ELT DF355 ILLUSIA STEEL(2S)-Y
FF,FF TOP MOUNT,20004843,IF INV 375 GRVT BLK(3S) C,22398,IF INV 375 GRAVITY BLACK(3S) CONV-Y
FF,FF TOP MOUNT,20004842,IF INV 375 ILUSA STL(3S),22397,IF INV 375 ILLUSIA STEEL(3S) CONV-Y
FF,FF TOP MOUNT,20004676,IF INV CNV 375 ILLUSIA ST,22148,IF INV 375 ILLUSIA STEEL(3S) CONV-TL
FF,FF TOP MOUNT,20004771,NEO SP278 PRM IMPERIAL BL,22314,NEO SP278 PRM Imperial BLACK(2S)-Y
FF,FF TOP MOUNT,20004768,NEO SP278 PRM IMPL STL(1S,22311,NEO SP278 PRM IMPERIAL STEEL(1S)-Y
FF,FF TOP MOUNT,20004677,NEO SP278 PRM ATHENA STL(,22149,NEO SP278 PRM ATHENA STEEL(2S)-TL
FF,FF TOP MOUNT,20004678,NEO SP278 PRM MULIA(2S)-T,22150,NEO SP278 PRM SAPPHIRE MULIA(2S)-TL
FF,FF TOP MOUNT,20004678,NEO SP278 PRM MULIA(2S)-T,22151,NEO SP278 PRM WINE MULIA(2S)-TL
FF,FF TOP MOUNT,20004857,IFPRO INV CNV PLT 355 ILU,22412,IFPRO INV CNV PLATINA 355 ILLUSIA(2S)-Y
FF,FF TOP MOUNT,20004679,IFPRO INV CNV PLATINA 355,22153,IFPRO INV CNV PLATINA 355 ILLUSIA(2S)-TL
FF,FF 3 DOOR,222008,NF CUFT,22156,FP 260D PROTTON ROY ALPHA STEEL(2s)CUFT
FF,FF 3 DOOR,222008,NF CUFT,22157,FP 260D PROTTON ROY ALPHA STEEL(3s)CUFT
FF,FF 3 DOOR,222008,NF CUFT,22160,FP 280D PROTTON ROY ALPHA STEEL(2s)CUFT
FF,FF 3 DOOR,222008,NF CUFT,22161,FP 280D PROTTON ROY ALPHA STEEL(3s)CUFT
FF,FF 3 DOOR,222008,NF CUFT,22158,FP 260D PROTTON ROY PLTINA ALPHA(2s)CUFT
FF,FF 3 DOOR,222008,NF CUFT,22159,FP 260D PROTTON ROY PLTINA ALPHA(3s)CUFT
FF,FF 3 DOOR,222008,NF CUFT,22162,FP 280D PROTTON ROY PLTINA ALPHA(2s)CUFT
FF,FF 3 DOOR,222008,NF CUFT,22163,FP 280D PROTTON ROY PLTINA ALPHA(3s)CUFT
FF,FF 3 DOOR,20004835,PRONXT SP260 3D PRM LUNAR,22390,PRONXT SP260 3D PRM LUNAR STEEL(3S)-Y
FF,FF 3 DOOR,20004680,FP 223D PRTN ROY RADIANT,22164,FP 223D PROTTON ROY RADIANT STEEL(Z)
FF,FF 3 DOOR,20004681,FP 223D PRTN ROY ARTEMIS,22165,FP 223D PROTTON ROY ARTEMIS STEEL(Z)
FF,FF 3 DOOR,20004682,FP 253D PRTN ROY RADIANT,22166,FP 253D PROTTON ROY RADIANT STEEL(Z)
FF,FF 3 DOOR,20004683,FP 253D PRTN ROY ARTEMIS,22167,FP 253D PROTTON ROY ARTEMIS STEEL(Z)
FF,FF 3 DOOR,20004684,FP 223D PRTN ROY MAGNUM S,22168,FP 223D PROTTON ROY MAGNUM STEEL(Z)
FF,FF 3 DOOR,20004685,FP 223D PRTN ROY GERMAN S,22169,FP 223D PROTTON ROY GERMAN STEEL(Z)
FF,FF TOP MOUNT,20004689,IF INV ELT DF278 SPLASH(3,22181,IF INV ELT DF278 SPLASH(3S)-TL
FF,FF 3 DOOR,20004686,FP 253D PRTN ROY MAGNUM S,22170,FP 253D PROTTON ROY MAGNUM STEEL(Z)
FF,FF TOP MOUNT,20004690,IF INV ELT SP278 MULIA(3S,22182,IF INV ELT SP278 WINE MULIA(3S)-TL
FF,FF 3 DOOR,20004687,FP 253D PRTN ROY GERMAN S,22171,FP 253D PROTTON ROY GERMAN STEEL(Z)
FF,FF TOP MOUNT,20004691,IFPRO INV CNV 278 SILK(2S,22187,IFPRO INV CNV 278 Wine Silk(2S)-TL
FF,FF TOP MOUNT,20004691,IFPRO INV CNV 278 SILK(2S,22188,IFPRO INV CNV 278 Saphire Silk(2S)-TL
FF,FF TOP MOUNT,20004800,IFPRO INV CNV 278 BELLE E,22352,IFPRO INV CNV 278 BELLE EPOQUE(3S)-Y
FF,FF TOP MOUNT,20004799,IFPRO INV CNV 278 VELVET(,22351,IFPRO INV CNV 278 WINE VELVET(3S)-Y
FF,FF TOP MOUNT,20004692,IFPRO INV CNV 278 SILK(3S,22189,IFPRO INV CNV 278 Wine Silk(3S)-TL
FF,FF TOP MOUNT,20004799,IFPRO INV CNV 278 VELVET(,22350,IFPRO INV CNV 278 SAPPHIRE VELVET(3S)-Y
FF,FF TOP MOUNT,20004692,IFPRO INV CNV 278 SILK(3S,22190,IFPRO INV CNV 278 Saphire Silk(3S)-TL
FF,FF TOP MOUNT,222008,NF CUFT,22183,IFPRO INV CNV 355GD CRYSTAL BLCK(2S)CUFT
FF,FF TOP MOUNT,222008,NF CUFT,22184,IFPRO INV CNV 355GD CRYSTAL BLCK(3S)CUFT
FF,FF TOP MOUNT,222008,NF CUFT,22185,IFPRO INV CNV 375GD CRYSTAL BLCK(2S)CUFT
FF,FF TOP MOUNT,222008,NF CUFT,22186,IFPRO INV CNV 375GD CRYSTAL BLCK(3S)CUFT
FF,FF TOP MOUNT,20004693,NEO DF278 PRM SPLASH(2S)T,22191,NEO DF278 PRM SPLASH(2S)TL
FF,FF TOP MOUNT,20004694,NEO DF278 PRM PURPLE PALM,22192,NEO DF278 PRM PURPLE PALM(2S)TL
FF,FF TOP MOUNT,20004695,NEO DF278 PRM CHROM BLK(2,22193,NEO DF278 PRM CHROMIUM BLACK(2S)-TL
FF,FF TOP MOUNT,20004696,NEO 278GD PRM EMERALD(2S),22194,NEO 278GD PRM EMERALD(2S)-TL
FF,FF TOP MOUNT,20004827,IF INV ELT 305GD JADE MRB,22382,IF INV ELT 305GD JADE MARBLE(2S)-Y
FF,FF TOP MOUNT,20004697,IF INV ELT 305GD EMERALD(,22195,IF INV ELT 305GD EMERALD(2S)-TL
